Global Warming Index calculator from Haustein et al. 2017 (Scientific Reports),,,,,,Start month,1850.042,Start row,1208,Januar 1850,,,Linear Trend 1880-2012:,,,0.914,°C / 133 years,,,,
"Response function used for Global Temperature Potentials by IPCC (2013), Ch08, SM section 8.SM.11.2",,,,,,End month,2020.959,End row,3259,Dcember 2020,,,Obs Warming 1850-1900 vs 2006-2015:,,,0.928,°C,,,,
Decay time (years) of thermal response,4,209,Years,,,,Ant coeff,Nat coeff,,,,,GWI Warming 1850-1900 vs 2006-2015: ,,,0.916,°C (ending 12/2015),,,,
Contribution to total equilibrium warming,0.404,0.351,,,,Reg. coeffs,0.9797,0.4155,,,,,GWI Warming 1850-1900 vs 2006-2015: ,,,0.979,°C (ending 02/2020),,,,
Fractional decay in one month,0.0206,0.0004,,,,,,,,Anomalies from 1850-1900,,,,,,,,,,,
Date,Anthrop forcing,Natural forcing,Ant T1,Ant T2,Nat T1,Nat T2,Ant warm,Nat warm,Obs warm,Best-fit ant,Best-fit nat,Best-fit tot,Obs warm,Residual,,,,,,,
,W/m2,W/m2,K,K,K,K,K,K,K,,,,,,,,,,,,
1750.042,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,-0.0534,0.0955,0.0421,,,,,,,,,
1750.125,-0.0017,-0.0008,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,-0.0534,0.0955,0.0421,,,,,,,,,
1750.209,-0.0033,-0.0017,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,-0.0534,0.0955,0.0421,,,,,,,,,
1750.292,-0.0050,-0.0025,-0.0001,0.0000,0.0000,0.0000,-0.0001,0.0000,,-0.0535,0.0955,0.0420,,,,,,,,,
1750.375,-0.0066,-0.0033,-0.0001,0.0000,-0.0001,0.0000,-0.0001,-0.0001,,-0.0535,0.0955,0.0420,,,,,,,,,
1750.459,-0.0083,-0.0042,-0.0002,0.0000,-0.0001,0.0000,-0.0002,-0.0001,,-0.0536,0.0955,0.0419,,,,,,,,,
1750.542,-0.0100,-0.0050,-0.0002,0.0000,-0.0001,0.0000,-0.0002,-0.0001,,-0.0536,0.0955,0.0418,,,,,,,,,
1750.625,-0.0116,-0.0058,-0.0003,0.0000,-0.0002,0.0000,-0.0003,-0.0002,,-0.0537,0.0954,0.0417,,,,,,,,,
1750.709,-0.0133,-0.0066,-0.0004,0.0000,-0.0002,0.0000,-0.0004,-0.0002,,-0.0538,0.0954,0.0416,,,,,,,,,
1750.792,-0.0149,-0.0075,-0.0005,0.0000,-0.0003,0.0000,-0.0005,-0.0003,,-0.0539,0.0954,0.0415,,,,,,,,,
1750.875,-0.0166,-0.0083,-0.0007,0.0000,-0.0003,0.0000,-0.0007,-0.0003,,-0.0540,0.0954,0.0413,,,,,,,,,
1750.959,-0.0183,-0.0091,-0.0008,0.0000,-0.0004,0.0000,-0.0008,-0.0004,,-0.0542,0.0953,0.0412,,,,,,,,,
1751.042,-0.0199,-0.0100,-0.0009,0.0000,-0.0005,0.0000,-0.0009,-0.0005,,-0.0543,0.0953,0.0410,,,,,,,,,
1751.125,-0.0191,-0.0116,-0.0011,0.0000,-0.0005,0.0000,-0.0011,-0.0006,,-0.0545,0.0953,0.0408,,,,,,,,,
1751.209,-0.0182,-0.0133,-0.0012,0.0000,-0.0006,0.0000,-0.0012,-0.0006,,-0.0546,0.0952,0.0406,,,,,,,,,
1751.292,-0.0173,-0.0149,-0.0013,0.0000,-0.0007,0.0000,-0.0014,-0.0008,,-0.0547,0.0952,0.0405,,,,,,,,,
1751.375,-0.0164,-0.0166,-0.0014,0.0000,-0.0009,0.0000,-0.0015,-0.0009,,-0.0548,0.0951,0.0403,,,,,,,,,
1751.459,-0.0154,-0.0182,-0.0015,0.0000,-0.0010,0.0000,-0.0016,-0.0010,,-0.0549,0.0951,0.0402,,,,,,,,,
1751.542,-0.0145,-0.0199,-0.0016,0.0000,-0.0011,0.0000,-0.0017,-0.0011,,-0.0550,0.0950,0.0400,,,,,,,,,
1751.625,-0.0136,-0.0216,-0.0017,0.0000,-0.0013,0.0000,-0.0018,-0.0013,,-0.0551,0.0950,0.0399,,,,,,,,,
1751.709,-0.0127,-0.0232,-0.0018,0.0000,-0.0014,0.0000,-0.0018,-0.0015,,-0.0552,0.0949,0.0397,,,,,,,,,
1751.792,-0.0117,-0.0249,-0.0019,0.0000,-0.0016,0.0000,-0.0019,-0.0016,,-0.0552,0.0948,0.0396,,,,,,,,,
1751.875,-0.0108,-0.0265,-0.0019,0.0000,-0.0018,0.0000,-0.0020,-0.0018,,-0.0553,0.0947,0.0394,,,,,,,,,
1751.959,-0.0099,-0.0282,-0.0020,0.0000,-0.0020,0.0000,-0.0020,-0.0020,,-0.0553,0.0947,0.0393,,,,,,,,,
1752.042,-0.0090,-0.0299,-0.0020,0.0000,-0.0022,0.0000,-0.0020,-0.0022,,-0.0554,0.0946,0.0392,,,,,,,,,
1752.125,-0.0097,-0.0300,-0.0020,0.0000,-0.0024,0.0000,-0.0021,-0.0024,,-0.0554,0.0945,0.0391,,,,,,,,,
1752.209,-0.0105,-0.0300,-0.0021,0.0000,-0.0026,-0.0001,-0.0021,-0.0026,,-0.0555,0.0944,0.0389,,,,,,,,,
1752.292,-0.0113,-0.0300,-0.0021,0.0000,-0.0028,-0.0001,-0.0022,-0.0028,,-0.0555,0.0943,0.0388,,,,,,,,,
1752.375,-0.0122,-0.0300,-0.0022,0.0000,-0.0030,-0.0001,-0.0022,-0.0030,,-0.0556,0.0942,0.0387,,,,,,,,,
1752.459,-0.0130,-0.0300,-0.0022,0.0000,-0.0032,-0.0001,-0.0023,-0.0032,,-0.0556,0.0942,0.0385,,,,,,,,,
1752.542,-0.0138,-0.0300,-0.0023,-0.0001,-0.0033,-0.0001,-0.0024,-0.0034,,-0.0557,0.0941,0.0384,,,,,,,,,
1752.625,-0.0146,-0.0300,-0.0024,-0.0001,-0.0035,-0.0001,-0.0024,-0.0036,,-0.0558,0.0940,0.0382,,,,,,,,,
1752.709,-0.0155,-0.0300,-0.0025,-0.0001,-0.0037,-0.0001,-0.0025,-0.0038,,-0.0558,0.0939,0.0381,,,,,,,,,
1752.792,-0.0163,-0.0300,-0.0025,-0.0001,-0.0039,-0.0001,-0.0026,-0.0040,,-0.0559,0.0939,0.0379,,,,,,,,,
1752.875,-0.0171,-0.0300,-0.0026,-0.0001,-0.0040,-0.0001,-0.0027,-0.0041,,-0.0560,0.0938,0.0378,,,,,,,,,
1752.959,-0.0180,-0.0300,-0.0027,-0.0001,-0.0042,-0.0001,-0.0028,-0.0043,,-0.0561,0.0937,0.0376,,,,,,,,,
1753.042,-0.0188,-0.0300,-0.0028,-0.0001,-0.0044,-0.0001,-0.0029,-0.0045,,-0.0562,0.0936,0.0374,,,,,,,,,
1753.125,-0.0196,-0.0307,-0.0029,-0.0001,-0.0045,-0.0001,-0.0030,-0.0046,,-0.0563,0.0936,0.0373,,,,,,,,,
1753.209,-0.0205,-0.0316,-0.0030,-0.0001,-0.0047,-0.0001,-0.0031,-0.0048,,-0.0564,0.0935,0.0371,,,,,,,,,
1753.292,-0.0213,-0.0324,-0.0031,-0.0001,-0.0049,-0.0001,-0.0032,-0.0050,,-0.0565,0.0934,0.0369,,,,,,,,,
1753.375,-0.0221,-0.0332,-0.0032,-0.0001,-0.0050,-0.0001,-0.0033,-0.0052,,-0.0566,0.0934,0.0367,,,,,,,,,
1753.459,-0.0230,-0.0341,-0.0034,-0.0001,-0.0052,-0.0001,-0.0034,-0.0053,,-0.0568,0.0933,0.0365,,,,,,,,,
1753.542,-0.0238,-0.0349,-0.0035,-0.0001,-0.0054,-0.0001,-0.0036,-0.0055,,-0.0569,0.0932,0.0363,,,,,,,,,
1753.625,-0.0246,-0.0357,-0.0036,-0.0001,-0.0056,-0.0001,-0.0037,-0.0057,,-0.0570,0.0931,0.0361,,,,,,,,,
1753.709,-0.0254,-0.0365,-0.0038,-0.0001,-0.0058,-0.0001,-0.0038,-0.0059,,-0.0572,0.0931,0.0359,,,,,,,,,
1753.792,-0.0263,-0.0374,-0.0039,-0.0001,-0.0060,-0.0001,-0.0040,-0.0061,,-0.0573,0.0930,0.0357,,,,,,,,,
1753.875,-0.0271,-0.0382,-0.0040,-0.0001,-0.0062,-0.0001,-0.0041,-0.0063,,-0.0574,0.0929,0.0355,,,,,,,,,
1753.959,-0.0279,-0.0390,-0.0042,-0.0001,-0.0063,-0.0001,-0.0043,-0.0065,,-0.0576,0.0928,0.0352,,,,,,,,,
1754.042,-0.0288,-0.0399,-0.0043,-0.0001,-0.0065,-0.0001,-0.0044,-0.0067,,-0.0577,0.0927,0.0350,,,,,,,,,
1754.125,-0.0289,-0.0866,-0.0045,-0.0001,-0.0069,-0.0002,-0.0046,-0.0071,,-0.0579,0.0926,0.0347,,,,,,,,,
1754.209,-0.0289,-0.1422,-0.0046,-0.0001,-0.0077,-0.0002,-0.0047,-0.0079,,-0.0580,0.0922,0.0342,,,,,,,,,
1754.292,-0.0289,-0.1979,-0.0048,-0.0001,-0.0090,-0.0002,-0.0049,-0.0092,,-0.0582,0.0917,0.0335,,,,,,,,,
1754.375,-0.0289,-0.2535,-0.0049,-0.0001,-0.0107,-0.0002,-0.0050,-0.0109,,-0.0583,0.0910,0.0326,,,,,,,,,
1754.459,-0.0289,-0.3092,-0.0051,-0.0001,-0.0128,-0.0003,-0.0052,-0.0131,,-0.0585,0.0901,0.0316,,,,,,,,,
1754.542,-0.0289,-0.3648,-0.0052,-0.0001,-0.0154,-0.0003,-0.0053,-0.0157,,-0.0586,0.0890,0.0304,,,,,,,,,
1754.625,-0.0289,-0.4204,-0.0053,-0.0001,-0.0183,-0.0004,-0.0055,-0.0187,,-0.0587,0.0877,0.0290,,,,,,,,,
1754.709,-0.0289,-0.4761,-0.0055,-0.0001,-0.0217,-0.0004,-0.0056,-0.0221,,-0.0589,0.0863,0.0274,,,,,,,,,
1754.792,-0.0289,-0.5317,-0.0056,-0.0001,-0.0254,-0.0005,-0.0057,-0.0259,,-0.0590,0.0847,0.0257,,,,,,,,,
1754.875,-0.0289,-0.5874,-0.0057,-0.0001,-0.0296,-0.0006,-0.0059,-0.0301,,-0.0591,0.0830,0.0239,,,,,,,,,
1754.959,-0.0289,-0.6430,-0.0058,-0.0001,-0.0341,-0.0007,-0.0060,-0.0347,,-0.0593,0.0811,0.0218,,,,,,,,,
1755.042,-0.0289,-0.6987,-0.0060,-0.0002,-0.0390,-0.0008,-0.0061,-0.0397,,-0.0594,0.0790,0.0196,,,,,,,,,
1755.125,-0.0289,-0.6664,-0.0061,-0.0002,-0.0438,-0.0009,-0.0062,-0.0447,,-0.0595,0.0769,0.0174,,,,,,,,,
1755.209,-0.0289,-0.6115,-0.0062,-0.0002,-0.0483,-0.0009,-0.0063,-0.0492,,-0.0596,0.0751,0.0154,,,,,,,,,
1755.292,-0.0289,-0.5567,-0.0063,-0.0002,-0.0521,-0.0010,-0.0065,-0.0532,,-0.0597,0.0734,0.0137,,,,,,,,,
1755.375,-0.0289,-0.5019,-0.0064,-0.0002,-0.0555,-0.0011,-0.0066,-0.0566,,-0.0598,0.0720,0.0122,,,,,,,,,
1755.459,-0.0289,-0.4471,-0.0065,-0.0002,-0.0583,-0.0012,-0.0067,-0.0594,,-0.0599,0.0708,0.0109,,,,,,,,,
1755.542,-0.0289,-0.3923,-0.0066,-0.0002,-0.0606,-0.0012,-0.0068,-0.0618,,-0.0601,0.0698,0.0098,,,,,,,,,
1755.625,-0.0289,-0.3375,-0.0067,-0.0002,-0.0624,-0.0013,-0.0069,-0.0636,,-0.0602,0.0691,0.0089,,,,,,,,,
1755.709,-0.0289,-0.2827,-0.0068,-0.0002,-0.0637,-0.0013,-0.0070,-0.0650,,-0.0603,0.0685,0.0082,,,,,,,,,
1755.792,-0.0289,-0.2278,-0.0069,-0.0002,-0.0645,-0.0014,-0.0071,-0.0658,,-0.0604,0.0682,0.0078,,,,,,,,,
1755.875,-0.0289,-0.1730,-0.0070,-0.0002,-0.0648,-0.0014,-0.0072,-0.0662,,-0.0605,0.0680,0.0075,,,,,,,,,
1755.959,-0.0289,-0.1182,-0.0071,-0.0002,-0.0647,-0.0014,-0.0073,-0.0661,,-0.0606,0.0680,0.0075,,,,,,,,,
1756.042,-0.0289,-0.0634,-0.0072,-0.0002,-0.0641,-0.0014,-0.0074,-0.0655,,-0.0607,0.0683,0.0076,,,,,,,,,
1756.125,-0.0289,-0.0500,-0.0073,-0.0002,-0.0633,-0.0014,-0.0075,-0.0647,,-0.0608,0.0686,0.0079,,,,,,,,,
1756.209,-0.0289,-0.0500,-0.0074,-0.0002,-0.0624,-0.0014,-0.0076,-0.0638,,-0.0608,0.0690,0.0081,,,,,,,,,
1756.292,-0.0289,-0.0500,-0.0075,-0.0002,-0.0615,-0.0014,-0.0077,-0.0629,,-0.0609,0.0694,0.0084,,,,,,,,,
1756.375,-0.0289,-0.0500,-0.0076,-0.0002,-0.0607,-0.0014,-0.0078,-0.0621,,-0.0610,0.0697,0.0087,,,,,,,,,
1756.459,-0.0289,-0.0500,-0.0077,-0.0002,-0.0598,-0.0014,-0.0079,-0.0613,,-0.0611,0.0700,0.0089,,,,,,,,,
1756.542,-0.0289,-0.0500,-0.0077,-0.0002,-0.0590,-0.0015,-0.0080,-0.0605,,-0.0612,0.0704,0.0092,,,,,,,,,
1756.625,-0.0289,-0.0500,-0.0078,-0.0002,-0.0582,-0.0015,-0.0081,-0.0597,,-0.0613,0.0707,0.0094,,,,,,,,,
1756.709,-0.0289,-0.0500,-0.0079,-0.0002,-0.0574,-0.0015,-0.0081,-0.0589,,-0.0614,0.0710,0.0097,,,,,,,,,
1756.792,-0.0289,-0.0500,-0.0080,-0.0002,-0.0566,-0.0015,-0.0082,-0.0581,,-0.0614,0.0714,0.0099,,,,,,,,,
1756.875,-0.0289,-0.0500,-0.0081,-0.0002,-0.0559,-0.0015,-0.0083,-0.0574,,-0.0615,0.0717,0.0101,,,,,,,,,
1756.959,-0.0289,-0.0500,-0.0081,-0.0002,-0.0552,-0.0015,-0.0084,-0.0566,,-0.0616,0.0720,0.0104,,,,,,,,,
1757.042,-0.0289,-0.0500,-0.0082,-0.0002,-0.0544,-0.0015,-0.0085,-0.0559,,-0.0617,0.0723,0.0106,,,,,,,,,
1757.125,-0.0289,-0.0500,-0.0083,-0.0003,-0.0537,-0.0015,-0.0085,-0.0552,,-0.0617,0.0726,0.0108,,,,,,,,,
1757.209,-0.0289,-0.0500,-0.0083,-0.0003,-0.0530,-0.0015,-0.0086,-0.0545,,-0.0618,0.0728,0.0110,,,,,,,,,
1757.292,-0.0289,-0.0500,-0.0084,-0.0003,-0.0524,-0.0015,-0.0087,-0.0539,,-0.0619,0.0731,0.0112,,,,,,,,,
1757.375,-0.0289,-0.0500,-0.0085,-0.0003,-0.0517,-0.0015,-0.0087,-0.0532,,-0.0620,0.0734,0.0114,,,,,,,,,
1757.459,-0.0289,-0.0500,-0.0085,-0.0003,-0.0511,-0.0015,-0.0088,-0.0526,,-0.0620,0.0737,0.0116,,,,,,,,,
1757.542,-0.0289,-0.0500,-0.0086,-0.0003,-0.0504,-0.0015,-0.0089,-0.0519,,-0.0621,0.0739,0.0118,,,,,,,,,
1757.625,-0.0289,-0.0500,-0.0087,-0.0003,-0.0498,-0.0015,-0.0090,-0.0513,,-0.0622,0.0742,0.0120,,,,,,,,,
1757.709,-0.0289,-0.0500,-0.0087,-0.0003,-0.0492,-0.0015,-0.0090,-0.0507,,-0.0622,0.0744,0.0122,,,,,,,,,
1757.792,-0.0289,-0.0500,-0.0088,-0.0003,-0.0486,-0.0015,-0.0091,-0.0501,,-0.0623,0.0747,0.0124,,,,,,,,,
1757.875,-0.0289,-0.0500,-0.0089,-0.0003,-0.0480,-0.0016,-0.0091,-0.0496,,-0.0623,0.0749,0.0126,,,,,,,,,
1757.959,-0.0289,-0.0500,-0.0089,-0.0003,-0.0474,-0.0016,-0.0092,-0.0490,,-0.0624,0.0751,0.0127,,,,,,,,,
1758.042,-0.0289,-0.0500,-0.0090,-0.0003,-0.0469,-0.0016,-0.0093,-0.0484,,-0.0625,0.0754,0.0129,,,,,,,,,
1758.125,-0.0295,-0.0528,-0.0090,-0.0003,-0.0463,-0.0016,-0.0093,-0.0479,,-0.0625,0.0756,0.0131,,,,,,,,,
1758.209,-0.0303,-0.0570,-0.0091,-0.0003,-0.0458,-0.0016,-0.0094,-0.0474,,-0.0626,0.0758,0.0132,,,,,,,,,
1758.292,-0.0311,-0.0611,-0.0092,-0.0003,-0.0454,-0.0016,-0.0095,-0.0470,,-0.0627,0.0760,0.0133,,,,,,,,,
1758.375,-0.0320,-0.0653,-0.0092,-0.0003,-0.0450,-0.0016,-0.0095,-0.0466,,-0.0627,0.0762,0.0134,,,,,,,,,
1758.459,-0.0328,-0.0694,-0.0093,-0.0003,-0.0446,-0.0016,-0.0096,-0.0462,,-0.0628,0.0763,0.0135,,,,,,,,,
1758.542,-0.0336,-0.0736,-0.0094,-0.0003,-0.0443,-0.0016,-0.0097,-0.0459,,-0.0629,0.0764,0.0135,,,,,,,,,
1758.625,-0.0344,-0.0777,-0.0095,-0.0003,-0.0440,-0.0016,-0.0098,-0.0456,,-0.0630,0.0765,0.0135,,,,,,,,,
1758.709,-0.0353,-0.0819,-0.0096,-0.0003,-0.0438,-0.0016,-0.0099,-0.0454,,-0.0631,0.0766,0.0135,,,,,,,,,
1758.792,-0.0361,-0.0860,-0.0097,-0.0003,-0.0436,-0.0016,-0.0100,-0.0452,,-0.0632,0.0767,0.0135,,,,,,,,,
1758.875,-0.0369,-0.0902,-0.0098,-0.0003,-0.0434,-0.0017,-0.0101,-0.0450,,-0.0633,0.0768,0.0135,,,,,,,,,
1758.959,-0.0378,-0.0943,-0.0099,-0.0003,-0.0433,-0.0017,-0.0102,-0.0449,,-0.0634,0.0768,0.0134,,,,,,,,,
1759.042,-0.0386,-0.0985,-0.0100,-0.0003,-0.0432,-0.0017,-0.0104,-0.0449,,-0.0635,0.0769,0.0133,,,,,,,,,
1759.125,-0.0383,-0.1037,-0.0101,-0.0004,-0.0431,-0.0017,-0.0105,-0.0448,,-0.0637,0.0769,0.0132,,,,,,,,,
1759.209,-0.0374,-0.1095,-0.0102,-0.0004,-0.0431,-0.0017,-0.0106,-0.0448,,-0.0638,0.0769,0.0131,,,,,,,,,
1759.292,-0.0365,-0.1153,-0.0103,-0.0004,-0.0432,-0.0017,-0.0107,-0.0449,,-0.0639,0.0768,0.0130,,,,,,,,,
1759.375,-0.0356,-0.1211,-0.0104,-0.0004,-0.0433,-0.0017,-0.0108,-0.0450,,-0.0640,0.0768,0.0128,,,,,,,,,
1759.459,-0.0346,-0.1269,-0.0105,-0.0004,-0.0434,-0.0018,-0.0109,-0.0452,,-0.0640,0.0767,0.0127,,,,,,,,,
1759.542,-0.0337,-0.1327,-0.0106,-0.0004,-0.0436,-0.0018,-0.0109,-0.0454,,-0.0641,0.0767,0.0125,,,,,,,,,
1759.625,-0.0328,-0.1386,-0.0106,-0.0004,-0.0438,-0.0018,-0.0110,-0.0456,,-0.0642,0.0765,0.0124,,,,,,,,,
1759.709,-0.0319,-0.1444,-0.0107,-0.0004,-0.0441,-0.0018,-0.0111,-0.0459,,-0.0642,0.0764,0.0122,,,,,,,,,
1759.792,-0.0309,-0.1502,-0.0107,-0.0004,-0.0444,-0.0018,-0.0111,-0.0462,,-0.0643,0.0763,0.0120,,,,,,,,,
1759.875,-0.0300,-0.1560,-0.0107,-0.0004,-0.0448,-0.0019,-0.0111,-0.0466,,-0.0643,0.0761,0.0118,,,,,,,,,
1759.959,-0.0291,-0.1618,-0.0108,-0.0004,-0.0452,-0.0019,-0.0112,-0.0471,,-0.0643,0.0760,0.0116,,,,,,,,,
1760.042,-0.0282,-0.1676,-0.0108,-0.0004,-0.0456,-0.0019,-0.0112,-0.0475,,-0.0644,0.0758,0.0114,,,,,,,,,
1760.125,-0.0278,-0.2163,-0.0108,-0.0004,-0.0463,-0.0019,-0.0112,-0.0482,,-0.0644,0.0755,0.0111,,,,,,,,,
1760.209,-0.0278,-0.2943,-0.0108,-0.0004,-0.0474,-0.0020,-0.0112,-0.0494,,-0.0644,0.0750,0.0106,,,,,,,,,
1760.292,-0.0278,-0.3724,-0.0108,-0.0004,-0.0492,-0.0020,-0.0112,-0.0512,,-0.0644,0.0742,0.0098,,,,,,,,,
1760.375,-0.0278,-0.4505,-0.0108,-0.0004,-0.0517,-0.0021,-0.0112,-0.0537,,-0.0644,0.0732,0.0088,,,,,,,,,
1760.459,-0.0278,-0.5285,-0.0108,-0.0004,-0.0547,-0.0021,-0.0113,-0.0568,,-0.0644,0.0719,0.0075,,,,,,,,,
1760.542,-0.0278,-0.6066,-0.0108,-0.0004,-0.0583,-0.0022,-0.0113,-0.0605,,-0.0644,0.0704,0.0059,,,,,,,,,
1760.625,-0.0278,-0.6847,-0.0108,-0.0004,-0.0624,-0.0023,-0.0113,-0.0647,,-0.0644,0.0686,0.0042,,,,,,,,,
1760.709,-0.0278,-0.7627,-0.0109,-0.0004,-0.0672,-0.0024,-0.0113,-0.0696,,-0.0645,0.0666,0.0021,,,,,,,,,
1760.792,-0.0278,-0.8408,-0.0109,-0.0004,-0.0725,-0.0025,-0.0113,-0.0750,,-0.0645,0.0643,-0.0001,,,,,,,,,
1760.875,-0.0278,-0.9189,-0.0109,-0.0004,-0.0783,-0.0026,-0.0113,-0.0809,,-0.0645,0.0619,-0.0026,,,,,,,,,
1760.959,-0.0278,-0.9969,-0.0109,-0.0004,-0.0847,-0.0028,-0.0113,-0.0874,,-0.0645,0.0592,-0.0053,,,,,,,,,
1761.042,-0.0278,-1.0750,-0.0109,-0.0004,-0.0916,-0.0029,-0.0113,-0.0945,,-0.0645,0.0562,-0.0082,,,,,,,,,
1761.125,-0.0273,-1.0733,-0.0109,-0.0005,-0.0986,-0.0031,-0.0113,-0.1017,,-0.0645,0.0533,-0.0112,,,,,,,,,
1761.209,-0.0265,-1.0069,-0.0109,-0.0005,-0.1053,-0.0032,-0.0113,-0.1085,,-0.0645,0.0504,-0.0141,,,,,,,,,
1761.292,-0.0257,-0.9405,-0.0109,-0.0005,-0.1112,-0.0033,-0.0113,-0.1145,,-0.0645,0.0479,-0.0166,,,,,,,,,
1761.375,-0.0249,-0.8740,-0.0109,-0.0005,-0.1165,-0.0035,-0.0113,-0.1199,,-0.0645,0.0457,-0.0188,,,,,,,,,
1761.459,-0.0240,-0.8076,-0.0109,-0.0005,-0.1211,-0.0036,-0.0113,-0.1246,,-0.0645,0.0437,-0.0208,,,,,,,,,
1761.542,-0.0232,-0.7411,-0.0108,-0.0005,-0.1250,-0.0037,-0.0113,-0.1287,,-0.0645,0.0420,-0.0224,,,,,,,,,
1761.625,-0.0224,-0.6747,-0.0108,-0.0005,-0.1283,-0.0038,-0.0113,-0.1321,,-0.0644,0.0406,-0.0238,,,,,,,,,
1761.709,-0.0215,-0.6082,-0.0108,-0.0005,-0.1310,-0.0039,-0.0112,-0.1349,,-0.0644,0.0394,-0.0249,,,,,,,,,
1761.792,-0.0207,-0.5418,-0.0107,-0.0005,-0.1331,-0.0039,-0.0112,-0.1371,,-0.0643,0.0385,-0.0258,,,,,,,,,
1761.875,-0.0199,-0.4754,-0.0107,-0.0005,-0.1346,-0.0040,-0.0111,-0.1386,,-0.0643,0.0379,-0.0264,,,,,,,,,
1761.959,-0.0190,-0.4089,-0.0106,-0.0005,-0.1355,-0.0041,-0.0111,-0.1396,,-0.0642,0.0375,-0.0267,,,,,,,,,
1762.042,-0.0182,-0.3425,-0.0105,-0.0005,-0.1359,-0.0041,-0.0110,-0.1400,,-0.0642,0.0373,-0.0268,,,,,,,,,
1762.125,-0.0182,-0.3015,-0.0105,-0.0005,-0.1357,-0.0042,-0.0110,-0.1399,,-0.0641,0.0374,-0.0268,,,,,,,,,
1762.209,-0.0191,-0.2849,-0.0104,-0.0005,-0.1354,-0.0042,-0.0109,-0.1396,,-0.0641,0.0375,-0.0266,,,,,,,,,
1762.292,-0.0199,-0.2683,-0.0104,-0.0005,-0.1349,-0.0043,-0.0108,-0.1391,,-0.0640,0.0377,-0.0263,,,,,,,,,
1762.375,-0.0207,-0.2517,-0.0103,-0.0005,-0.1343,-0.0043,-0.0108,-0.1386,,-0.0640,0.0379,-0.0260,,,,,,,,,
1762.459,-0.0215,-0.2351,-0.0103,-0.0005,-0.1335,-0.0043,-0.0108,-0.1379,,-0.0639,0.0382,-0.0257,,,,,,,,,
1762.542,-0.0224,-0.2185,-0.0102,-0.0005,-0.1327,-0.0043,-0.0107,-0.1370,,-0.0639,0.0386,-0.0253,,,,,,,,,
1762.625,-0.0232,-0.2018,-0.0102,-0.0005,-0.1317,-0.0044,-0.0107,-0.1361,,-0.0639,0.0390,-0.0249,,,,,,,,,
1762.709,-0.0240,-0.1852,-0.0102,-0.0005,-0.1306,-0.0044,-0.0107,-0.1350,,-0.0639,0.0394,-0.0245,,,,,,,,,
1762.792,-0.0249,-0.1686,-0.0102,-0.0005,-0.1294,-0.0044,-0.0107,-0.1338,,-0.0639,0.0399,-0.0240,,,,,,,,,
1762.875,-0.0257,-0.1520,-0.0102,-0.0005,-0.1280,-0.0044,-0.0107,-0.1325,,-0.0639,0.0405,-0.0234,,,,,,,,,
1762.959,-0.0265,-0.1354,-0.0102,-0.0005,-0.1266,-0.0045,-0.0107,-0.1310,,-0.0639,0.0410,-0.0228,,,,,,,,,
1763.042,-0.0274,-0.1188,-0.0102,-0.0005,-0.1250,-0.0045,-0.0107,-0.1295,,-0.0639,0.0417,-0.0222,,,,,,,,,
1763.125,-0.0282,-0.1073,-0.0102,-0.0005,-0.1234,-0.0045,-0.0108,-0.1279,,-0.0639,0.0424,-0.0216,,,,,,,,,
1763.209,-0.0290,-0.1015,-0.0103,-0.0005,-0.1217,-0.0045,-0.0108,-0.1262,,-0.0640,0.0431,-0.0209,,,,,,,,,
1763.292,-0.0299,-0.0956,-0.0103,-0.0005,-0.1200,-0.0045,-0.0108,-0.1246,,-0.0640,0.0437,-0.0203,,,,,,,,,
1763.375,-0.0307,-0.0898,-0.0103,-0.0005,-0.1183,-0.0045,-0.0109,-0.1229,,-0.0640,0.0445,-0.0196,,,,,,,,,
1763.459,-0.0315,-0.0840,-0.0104,-0.0005,-0.1166,-0.0045,-0.0109,-0.1212,,-0.0641,0.0452,-0.0189,,,,,,,,,
1763.542,-0.0323,-0.0782,-0.0104,-0.0005,-0.1149,-0.0045,-0.0110,-0.1194,,-0.0642,0.0459,-0.0183,,,,,,,,,
1763.625,-0.0332,-0.0724,-0.0105,-0.0005,-0.1131,-0.0046,-0.0110,-0.1177,,-0.0642,0.0466,-0.0176,,,,,,,,,
1763.709,-0.0340,-0.0666,-0.0106,-0.0006,-0.1114,-0.0046,-0.0111,-0.1160,,-0.0643,0.0473,-0.0170,,,,,,,,,
1763.792,-0.0348,-0.0608,-0.0106,-0.0006,-0.1096,-0.0046,-0.0112,-0.1142,,-0.0644,0.0481,-0.0163,,,,,,,,,
1763.875,-0.0357,-0.0549,-0.0107,-0.0006,-0.1078,-0.0046,-0.0113,-0.1124,,-0.0644,0.0488,-0.0156,,,,,,,,,
1763.959,-0.0365,-0.0491,-0.0108,-0.0006,-0.1061,-0.0046,-0.0114,-0.1106,,-0.0645,0.0495,-0.0150,,,,,,,,,
1764.042,-0.0373,-0.0433,-0.0109,-0.0006,-0.1043,-0.0046,-0.0114,-0.1088,,-0.0646,0.0503,-0.0143,,,,,,,,,
1764.125,-0.0378,-0.0404,-0.0110,-0.0006,-0.1025,-0.0046,-0.0115,-0.1070,,-0.0647,0.0510,-0.0137,,,,,,,,,
