date,CRU_anom,,1850-1900
1765.625,0.000,0.000,0.000
1765.709,0.000,0.000,0.000
1765.792,0.000,0.000,0.000
1765.875,0.000,0.000,0.000
1765.959,0.000,0.000,0.000
1766.042,0.000,0.000,0.000
1766.125,0.000,0.000,0.000
1766.209,0.000,0.000,0.000
1766.292,0.000,0.000,0.000
1766.375,0.000,0.000,0.000
1766.459,0.000,0.000,0.000
1766.542,0.000,0.000,0.000
1766.625,0.000,0.000,0.000
1766.709,0.000,0.000,0.000
1766.792,0.000,0.000,0.000
1766.875,0.000,0.000,0.000
1766.959,0.000,0.000,0.000
1767.042,0.000,0.000,0.000
1767.125,0.000,0.000,0.000
1767.209,0.000,0.000,0.000
1767.292,0.000,0.000,0.000
1767.375,0.000,0.000,0.000
1767.459,0.000,0.000,0.000
1767.542,0.000,0.000,0.000
1767.625,0.000,0.000,0.000
1767.709,0.000,0.000,0.000
1767.792,0.000,0.000,0.000
1767.875,0.000,0.000,0.000
1767.959,0.000,0.000,0.000
1768.042,0.000,0.000,0.000
1768.125,0.000,0.000,0.000
1768.209,0.000,0.000,0.000
1768.292,0.000,0.000,0.000
1768.375,0.000,0.000,0.000
1768.459,0.000,0.000,0.000
1768.542,0.000,0.000,0.000
1768.625,0.000,0.000,0.000
1768.709,0.000,0.000,0.000
1768.792,0.000,0.000,0.000
1768.875,0.000,0.000,0.000
1768.959,0.000,0.000,0.000
1769.042,0.000,0.000,0.000
1769.125,0.000,0.000,0.000
1769.209,0.000,0.000,0.000
1769.292,0.000,0.000,0.000
1769.375,0.000,0.000,0.000
1769.459,0.000,0.000,0.000
1769.542,0.000,0.000,0.000
1769.625,0.000,0.000,0.000
1769.709,0.000,0.000,0.000
1769.792,0.000,0.000,0.000
1769.875,0.000,0.000,0.000
1769.959,0.000,0.000,0.000
1770.042,0.000,0.000,0.000
1770.125,0.000,0.000,0.000
1770.209,0.000,0.000,0.000
1770.292,0.000,0.000,0.000
1770.375,0.000,0.000,0.000
1770.459,0.000,0.000,0.000
1770.542,0.000,0.000,0.000
1770.625,0.000,0.000,0.000
1770.709,0.000,0.000,0.000
1770.792,0.000,0.000,0.000
1770.875,0.000,0.000,0.000
1770.959,0.000,0.000,0.000
1771.042,0.000,0.000,0.000
1771.125,0.000,0.000,0.000
1771.209,0.000,0.000,0.000
1771.292,0.000,0.000,0.000
1771.375,0.000,0.000,0.000
1771.459,0.000,0.000,0.000
1771.542,0.000,0.000,0.000
1771.625,0.000,0.000,0.000
1771.709,0.000,0.000,0.000
1771.792,0.000,0.000,0.000
1771.875,0.000,0.000,0.000
1771.959,0.000,0.000,0.000
1772.042,0.000,0.000,0.000
1772.125,0.000,0.000,0.000
1772.209,0.000,0.000,0.000
1772.292,0.000,0.000,0.000
1772.375,0.000,0.000,0.000
1772.459,0.000,0.000,0.000
1772.542,0.000,0.000,0.000
1772.625,0.000,0.000,0.000
1772.709,0.000,0.000,0.000
1772.792,0.000,0.000,0.000
1772.875,0.000,0.000,0.000
1772.959,0.000,0.000,0.000
1773.042,0.000,0.000,0.000
1773.125,0.000,0.000,0.000
1773.209,0.000,0.000,0.000
1773.292,0.000,0.000,0.000
1773.375,0.000,0.000,0.000
1773.459,0.000,0.000,0.000
1773.542,0.000,0.000,0.000
1773.625,0.000,0.000,0.000
1773.709,0.000,0.000,0.000
1773.792,0.000,0.000,0.000
1773.875,0.000,0.000,0.000
1773.959,0.000,0.000,0.000
1774.042,0.000,0.000,0.000
1774.125,0.000,0.000,0.000
1774.209,0.000,0.000,0.000
1774.292,0.000,0.000,0.000
1774.375,0.000,0.000,0.000
1774.459,0.000,0.000,0.000
1774.542,0.000,0.000,0.000
1774.625,0.000,0.000,0.000
1774.709,0.000,0.000,0.000
1774.792,0.000,0.000,0.000
1774.875,0.000,0.000,0.000
1774.959,0.000,0.000,0.000
1775.042,0.000,0.000,0.000
1775.125,0.000,0.000,0.000
1775.209,0.000,0.000,0.000
1775.292,0.000,0.000,0.000
1775.375,0.000,0.000,0.000
1775.459,0.000,0.000,0.000
1775.542,0.000,0.000,0.000
1775.625,0.000,0.000,0.000
1775.709,0.000,0.000,0.000
1775.792,0.000,0.000,0.000
1775.875,0.000,0.000,0.000
1775.959,0.000,0.000,0.000
1776.042,0.000,0.000,0.000
1776.125,0.000,0.000,0.000
1776.209,0.000,0.000,0.000
1776.292,0.000,0.000,0.000
1776.375,0.000,0.000,0.000
1776.459,0.000,0.000,0.000
1776.542,0.000,0.000,0.000
1776.625,0.000,0.000,0.000
1776.709,0.000,0.000,0.000
1776.792,0.000,0.000,0.000
1776.875,0.000,0.000,0.000
1776.959,0.000,0.000,0.000
1777.042,0.000,0.000,0.000
1777.125,0.000,0.000,0.000
1777.209,0.000,0.000,0.000
1777.292,0.000,0.000,0.000
1777.375,0.000,0.000,0.000
1777.459,0.000,0.000,0.000
1777.542,0.000,0.000,0.000
1777.625,0.000,0.000,0.000
1777.709,0.000,0.000,0.000
1777.792,0.000,0.000,0.000
1777.875,0.000,0.000,0.000
1777.959,0.000,0.000,0.000
1778.042,0.000,0.000,0.000
1778.125,0.000,0.000,0.000
1778.209,0.000,0.000,0.000
1778.292,0.000,0.000,0.000
1778.375,0.000,0.000,0.000
1778.459,0.000,0.000,0.000
1778.542,0.000,0.000,0.000
1778.625,0.000,0.000,0.000
1778.709,0.000,0.000,0.000
1778.792,0.000,0.000,0.000
1778.875,0.000,0.000,0.000
1778.959,0.000,0.000,0.000
1779.042,0.000,0.000,0.000
1779.125,0.000,0.000,0.000
1779.209,0.000,0.000,0.000
1779.292,0.000,0.000,0.000
1779.375,0.000,0.000,0.000
1779.459,0.000,0.000,0.000
1779.542,0.000,0.000,0.000
1779.625,0.000,0.000,0.000
1779.709,0.000,0.000,0.000
1779.792,0.000,0.000,0.000
1779.875,0.000,0.000,0.000
1779.959,0.000,0.000,0.000
1780.042,0.000,0.000,0.000
1780.125,0.000,0.000,0.000
1780.209,0.000,0.000,0.000
1780.292,0.000,0.000,0.000
1780.375,0.000,0.000,0.000
1780.459,0.000,0.000,0.000
1780.542,0.000,0.000,0.000
1780.625,0.000,0.000,0.000
1780.709,0.000,0.000,0.000
1780.792,0.000,0.000,0.000
1780.875,0.000,0.000,0.000
1780.959,0.000,0.000,0.000
1781.042,0.000,0.000,0.000
1781.125,0.000,0.000,0.000
1781.209,0.000,0.000,0.000
1781.292,0.000,0.000,0.000
1781.375,0.000,0.000,0.000
1781.459,0.000,0.000,0.000
1781.542,0.000,0.000,0.000
1781.625,0.000,0.000,0.000
1781.709,0.000,0.000,0.000
1781.792,0.000,0.000,0.000
1781.875,0.000,0.000,0.000
1781.959,0.000,0.000,0.000
1782.042,0.000,0.000,0.000
1782.125,0.000,0.000,0.000
1782.209,0.000,0.000,0.000
1782.292,0.000,0.000,0.000
1782.375,0.000,0.000,0.000
1782.459,0.000,0.000,0.000
1782.542,0.000,0.000,0.000
1782.625,0.000,0.000,0.000
1782.709,0.000,0.000,0.000
1782.792,0.000,0.000,0.000
1782.875,0.000,0.000,0.000
1782.959,0.000,0.000,0.000
1783.042,0.000,0.000,0.000
1783.125,0.000,0.000,0.000
1783.209,0.000,0.000,0.000
1783.292,0.000,0.000,0.000
1783.375,0.000,0.000,0.000
1783.459,0.000,0.000,0.000
1783.542,0.000,0.000,0.000
1783.625,0.000,0.000,0.000
1783.709,0.000,0.000,0.000
1783.792,0.000,0.000,0.000
1783.875,0.000,0.000,0.000
1783.959,0.000,0.000,0.000
1784.042,0.000,0.000,0.000
1784.125,0.000,0.000,0.000
1784.209,0.000,0.000,0.000
1784.292,0.000,0.000,0.000
1784.375,0.000,0.000,0.000
1784.459,0.000,0.000,0.000
1784.542,0.000,0.000,0.000
1784.625,0.000,0.000,0.000
1784.709,0.000,0.000,0.000
1784.792,0.000,0.000,0.000
1784.875,0.000,0.000,0.000
1784.959,0.000,0.000,0.000
1785.042,0.000,0.000,0.000
1785.125,0.000,0.000,0.000
1785.209,0.000,0.000,0.000
1785.292,0.000,0.000,0.000
1785.375,0.000,0.000,0.000
1785.459,0.000,0.000,0.000
1785.542,0.000,0.000,0.000
1785.625,0.000,0.000,0.000
1785.709,0.000,0.000,0.000
1785.792,0.000,0.000,0.000
