time,prate,air,prate_mean,air_mean
0,-2.8844915953302194e-07,-0.1597716389641765,,
1,-1.0977842373502124e-07,-0.17565098984038013,,
2,-2.850437381974506e-07,-0.35361288400155627,,
3,-2.651159659309103e-08,-0.44159365114822063,,
4,1.9055218833717544e-08,-0.26040934335843946,,
5,5.129039477010451e-08,-0.20194084727131095,,
6,-2.0999531057579524e-07,-0.1026290132000143,,
7,-4.5893185913473347e-07,0.042532491554281376,,
8,-3.746610744790445e-07,0.05181193081976402,,
9,-1.1553158017704995e-07,-0.08518419008016372,,
10,-1.8313095147710033e-08,-0.15120313076991274,,
11,-1.31336014124101e-07,-0.1452092956257639,,
12,-3.91456625457459e-07,0.0230892028513691,,
13,-6.160997724603374e-07,-0.008410998773565038,,
14,-2.4561779535298414e-07,-0.07459293557122579,,
15,-2.3284655674339895e-08,-0.11380494607179197,,
16,-1.5897709993300843e-07,-0.43238829310707433,,
17,-3.25637760570537e-07,-0.010051635095837739,,
18,-1.3005569371784616e-07,-0.12407678008155179,,
19,1.241635309452693e-07,-0.23289545254589164,,
20,-2.64469436121404e-07,-0.37306220993949346,,
21,-6.284407415815557e-07,-0.44969815983911954,,
22,1.7692892783740336e-07,-0.36882592633417655,,
23,-2.3099273378618257e-07,-0.31829556555559535,,
24,9.502250959098816e-08,-0.43984228874874776,,
25,-1.1601006942012025e-07,-0.27990178715205766,,
26,-2.9443961914656495e-07,-0.34135218855291266,,
27,1.589560116464908e-07,-0.17617423500760587,,
28,1.5222046268499346e-08,-0.2577432508194221,,
29,7.718194793150515e-08,-0.5326618940659288,,
30,-1.8695015949971978e-07,-0.3370229821225589,,
31,-9.050480674081736e-08,-0.4434922129691038,,
32,4.803462383439835e-08,-0.16850205961429504,,
33,8.383111822501941e-08,-0.18744283637290193,,
34,2.9450500745981867e-07,-0.09700908467033027,,
35,-1.2701095795047783e-07,0.15365526673962582,,
36,-4.733882425926285e-07,-0.09524649829873354,,
37,-2.3554389678377777e-07,-0.014235248665835315,,
38,-1.536014616877853e-07,0.023017221081891664,,
39,-2.288864443527082e-07,0.1354444928459268,,
40,-1.6978430420748392e-07,-0.08487636339447822,,
41,-1.5624370501255633e-07,-0.027936284163457226,,
42,1.287327315058431e-07,0.09801717903005287,,
43,-1.9154965286217848e-07,0.06934228220452208,,
44,-4.6145212832929076e-08,-0.04154977788732092,,
45,-2.4737584989949527e-07,-0.0632861018374151,,
46,-3.279592596923786e-07,0.009621413234177477,,
47,-4.6808092801293146e-07,0.140560384909333,,
48,-3.9015033143024813e-07,0.07206987214179435,,
49,-4.324497294641267e-08,-0.09172818462427157,,
50,-3.5656381884448157e-07,-0.06890843512680468,,
51,-9.156971368291874e-08,-0.05986411468435403,,
52,-1.5315796349240924e-07,0.08322908778938219,,
53,4.240905784349945e-08,0.03122503438062483,,
54,-2.4619324947885646e-07,0.08644651812153976,,
55,-3.500906455362608e-07,0.15824747242471782,,
56,-2.1284122701598454e-07,-0.17675384955045065,,
57,-6.490233950136402e-08,-0.3518220295055531,,
58,-1.7124676451935247e-07,0.004789380548494204,,
59,-1.7639905580493502e-07,-0.3282537590579851,,
60,7.98512312352468e-08,-0.0616550343339249,,
61,-2.9675086100756057e-07,0.12906550873471512,,
62,-1.5394670452198242e-07,-0.13333326139792856,,
63,-8.071136662710754e-08,-0.16640620070050405,,
64,7.825233671257878e-08,-0.02281742215582592,,
65,-3.2641861554555284e-07,-0.05915803505741464,,
66,-2.2581719245473387e-07,-0.08398635764528582,,
67,-1.1758005445657096e-07,0.11180146588449089,,
68,-4.1908732868990857e-07,0.23083479171575094,,
69,-1.5039554690265338e-07,-0.1710206270883221,,
70,1.537963071992506e-07,-0.18412427749694232,,
71,-2.6603743635728997e-07,-0.06250239442203118,,
72,2.981938869257537e-07,-0.05399493791536283,,
73,-2.0238897881026828e-07,-0.11699011752884984,,
74,2.245471179057653e-07,-0.2746933859474973,,
75,9.870060757569945e-08,-0.14036204504965386,,
76,-2.680655962288213e-07,-0.16296267784358442,,
77,1.2394151552988544e-07,-0.2266087596549971,,
78,-3.1637347132866727e-07,-0.25959201129462955,,
79,2.75643384371884e-07,-0.1715012742990311,,
