x,zb,w,h0
0.0,1505.1593551137437,31.79517632053772,105.0
50.0,1503.1373964008585,31.79517632053772,105.0
100.0,1502.3681449750159,31.79517632053772,105.0
150.0,1502.237320751264,31.79517632053772,105.0
200.0,1502.2119966627633,31.79517632053772,105.0
250.0,1501.8405986607866,155.52501737323732,105.0
300.0,1500.7529057147178,290.630213554868,105.0
350.0,1498.6600498120538,425.73540973649875,105.0
400.0,1495.3545159584035,541.3353261416895,105.0
450.0,1490.7101421774873,650.3224808859859,105.0
500.0,1480.4638542258515,759.3096356302823,96.27113790264715
550.0,1472.353966828992,867.0981585132355,94.59692747016095
600.0,1463.4862905268208,974.3371230060953,93.59697176416077
650.0,1453.8393568434597,1081.576087498955,93.37627343935084
700.0,1443.551125449286,1331.4754077807922,93.90354212601181
750.0,1432.6520915623869,1648.1662205890575,95.09155431219277
800.0,1422.005632353956,1964.857033397323,96.02699181990549
850.0,1412.3553638173612,2316.170207947588,94.6482846106032
900.0,1402.6832244134782,2684.2267130243317,92.65408735249737
950.0,1390.8417780057098,3052.283218101076,92.82919709827674
1000.0,1377.668577949154,3365.206461012316,96.10329427847228
1050.0,1367.2030400522372,3676.767346151039,96.71339812233354
1100.0,1356.6676903182188,3987.99900484135,97.38596936443577
1150.0,1344.591935066951,4285.029196307458,99.28213740972203
1200.0,1330.2451323394944,4582.059387773566,103.44935293119704
1250.0,1313.6753120613603,4862.417870650742,110.02940113724736
1300.0,1294.9051553379127,4928.35035400996,121.25112523456278
1350.0,1275.050082863824,4994.282837369178,133.55776508251932
1400.0,1253.6772935544059,5060.215320728398,147.38212176580558
1450.0,1231.1615039519395,5121.183522097346,162.4449189853531
1500.0,1210.03985873314,4978.86029678988,180.0219282045333
1550.0,1192.3543506804149,4836.537071482414,194.16280025763947
1600.0,1179.5041115724055,4694.213846174947,203.46840336602963
1650.0,1171.9207419763732,4551.890620867482,207.50713696244273
1700.0,1167.9339909835521,4409.567395560015,207.94925195564483
1750.0,1167.405418397384,4267.244170252549,204.93318854219353
1800.0,1170.568256948726,4124.920944945083,198.22571399123248
1850.0,1174.54830701625,3982.5977196376166,190.70102792408926
