x,zb,w,h0
0.0,3570.0,297.0750085851611,72.90722656249983
50.0,3565.0,297.0750085851611,77.90722656250009
100.0,3560.0,297.0750085851611,82.9072265624999
150.0,3555.0,418.52546045971326,76.9221423231445
200.0,3550.0,591.9113598346134,61.09860994609312
250.0,3538.601718603492,554.4520397400177,46.67111230199657
300.0,3518.0615599705047,374.0130093763427,43.217639700316006
350.0,3491.9706293391478,360.5834624043073,42.74124372070316
400.0,3463.285796152596,440.93896880010595,42.47824433393286
450.0,3434.380514218462,495.8701600795047,48.502401841255676
500.0,3390.2060743559105,532.2541386087928,72.81261868093966
550.0,3373.872762048571,768.2616303084961,72.885757192998
600.0,3357.1407558007872,1045.229762732726,74.09970521521086
650.0,3339.8981716373946,1230.8140284413885,74.19902740036744
700.0,3322.755238783236,1477.3715720979549,73.8566681607335
750.0,3306.164234604934,1781.599925028585,72.63887535549316
800.0,3290.0635620949834,1858.8435933269889,73.30555981902057
850.0,3273.8458463066536,1879.2848157673814,74.68357856471141
900.0,3257.7922932237025,2014.768166108614,77.56367957770601
950.0,3242.2837281512975,2202.6664634887247,80.65795918799208
1000.0,3227.757694964121,2346.0555751205934,82.09354303248121
1050.0,3214.0872275834536,2391.1963530074067,81.18101580170963
1100.0,3200.443401230112,2480.545552618692,80.09708754723418
1150.0,3186.282481234014,2679.829170207939,79.17027387886614
1200.0,3171.4346711942717,2836.742637797116,78.94176414424464
1250.0,3155.9478813455694,2881.471433638713,79.38245510556153
1300.0,3139.7100165238767,2948.591855270963,80.7751846310044
1350.0,3122.99703251316,3075.258005516274,83.17745293477579
1400.0,3106.444378279135,3183.521160218578,85.5926861314484
1450.0,3090.383636735759,3227.2532915260263,88.12367305523205
1500.0,3074.857773491632,3270.985422833475,90.11978167976689
1550.0,3060.133463170869,3299.1412951014863,92.51800833697581
1600.0,3045.922265762422,3326.9720500928634,94.42824584375596
1650.0,3031.9037917463525,3319.9788491767345,97.13265973585145
1700.0,3018.5438577868726,3279.1313048995853,100.13795483945515
1750.0,3006.2929207603424,3238.2837606224357,102.03425301010904
1800.0,2994.5141271872735,3182.9836788766606,103.03267484411532
1850.0,2983.5471030577987,3121.199587266052,103.02832574289583
1900.0,2974.2309661273985,3058.6911412820723,101.3758550001457
1950.0,2964.8978209750353,2889.40102276131,100.14808085790868
2000.0,2954.0932716709767,2720.1109042405465,100.39171086736674
2050.0,2941.7065135905464,2587.936027813245,101.8584511004679
2100.0,2928.3544858367395,2620.2919878116413,102.69858710535821
2150.0,2913.8946446923237,2652.6479478100377,104.64653650085714
2200.0,2898.033107922811,2524.540579774033,109.15283020898877
2250.0,2880.320351610342,2349.2997401986636,115.85009004680606
2300.0,2861.159135864684,2174.058900623294,123.99580931781287
2350.0,2842.521001844919,1988.6150101088422,135.23848331037468
2400.0,2825.570644905022,1802.5696677993076,145.00677496475632
2450.0,2809.969435636142,1616.5243254897732,153.42591894812224
2500.0,2795.5366469910887,1430.4789831802386,160.67664230766061
2550.0,2781.649193819917,1336.3763232412384,168.67227402484733
2600.0,2767.8111616211577,1267.0753457497567,176.9665300622367
2650.0,2754.115834975105,1197.774368258275,185.11808054691937
2700.0,2741.013448848185,1128.4733907667933,192.6766905124695
2750.0,2727.9194014639957,1059.1724132753116,200.22696173528868
2800.0,2715.342489766397,1003.2778966841593,207.94445089970966
2850.0,2704.446614815242,962.9620016769132,214.77613826317017
2900.0,2694.257880912955,922.6461066696676,220.90068457776255
2950.0,2684.1690689461157,882.3302116624216,226.9253089569072
3000.0,2674.908486924369,842.0143166551759,232.12170339095866
3050.0,2669.3441087952538,801.6984216479299,233.6218939323788
3100.0,2663.378452014721,761.3825266406842,235.52336312521737
3150.0,2654.8272905783942,726.434650267807,240.07468208961038
3200.0,2645.286048919935,713.1725965658537,245.8760238853515
3250.0,2636.663474506323,699.9105428639006,250.7586984362461
3300.0,2631.6243128090387,686.6484891619473,252.05796027081243
3350.0,2631.3859396616945,673.386435459994,248.55643355543924
3400.0,2635.2238467743405,660.1243817580408,240.97862658007512
3450.0,2642.261432795864,646.8623280560876,230.20114069583425
3500.0,2650.2785644088904,633.6002743541345,218.44410922009018
3550.0,2658.4239248212234,620.3382206521812,206.55884894503922
3600.0,2667.8039482758677,659.8366886726119,190.75558180534014
3650.0,2676.1962210962292,706.9697566540387,175.5517776944841
3700.0,2680.8338268210096,754.1028246354657,164.10264067920912
3750.0,2679.6494516735347,801.2358926168926,158.4754845361885
3800.0,2671.99198830903,818.4407741368693,159.42825806155335
3850.0,2658.2918426584297,822.9355919671342,166.46908787698695
3900.0,2640.2329290100542,827.4304097973989,177.86868569019592
3950.0,2621.6182471112256,831.9252276276636,189.8240517538583
4000.0,2606.835505061116,836.4200454579283,197.94747796880168
4050.0,2592.6889635057423,806.8681116966459,207.71375391814252
4100.0,2578.0190336890437,770.1898292171637,218.48044768140673
4150.0,2564.413574638681,733.5115467376814,228.18267067833418
4200.0,2552.503096627788,696.8332642581992,236.18991263579144
4250.0,2542.6442712972216,660.1549817787169,242.14550191292338
4300.0,2535.9727330836854,623.4766992992348,244.91380407302464
4350.0,2530.2839473432387,586.7984168197526,246.69935376003588
4400.0,2523.3984829791225,560.904515587358,249.83292798119476
4450.0,2514.88647906308,561.7403663358882,254.96816189865262
4500.0,2506.6238969211186,562.5762170844184,259.8539740420296
4550.0,2502.239666484917,563.4120678329487,260.86143447964696
4600.0,2501.381362867888,564.2479185814789,258.3429680980912
4650.0,2503.5220038050425,565.0837693300091,252.82555716235282
4700.0,2507.62019649117,565.9196200785393,245.35059447764078
4750.0,2512.4862979393306,566.7554708270695,237.10772303089573
4800.0,2517.037085706296,567.5913215755997,229.18016526534635
4850.0,2520.392800781233,569.850226944211,221.3709227033468
4900.0,2522.896083313298,572.267851164097,214.29401770735674
4950.0,2524.712451256195,574.6854753839831,207.9040273005346
5000.0,2524.3713485294797,577.1030996038692,203.67150756332495
5050.0,2521.3602539848894,579.5207238237551,202.10897964399098
5100.0,2516.601691776094,581.9383480436412,202.2939193888614
5150.0,2511.192484988492,583.1019008342996,203.1090375986618
5200.0,2506.3364235864715,569.721880096294,203.13366315136875
5250.0,2503.874892541015,556.3418593582885,200.76375834751096
5300.0,2502.7795862842536,542.961838620283,197.02762875495867
5350.0,2501.7511587062486,529.5818178822774,193.22462048364966
5400.0,2500.512676080311,516.2017971442718,189.63166726027296
5450.0,2498.5240759352228,504.11119912083666,186.70260549848805
5500.0,2495.644733269287,503.00296714877624,183.92987533351337
5550.0,2491.750961830589,501.89473517671564,182.17157394130092
5600.0,2486.2990603928215,500.78650320465516,181.97140254815815
5650.0,2479.184890893197,499.67827123259474,183.43349921687195
5700.0,2471.283596756773,498.5700392605341,185.68272052238524
5750.0,2463.661680515815,500.1782773879392,188.0699383111268
5800.0,2457.586835010331,505.16340714823815,189.42893077611922
5850.0,2452.7494101032794,510.1485369085373,189.55050264267888
5900.0,2449.3854978777317,515.1336666688363,188.19856182773475
5950.0,2447.6262363680366,520.1187964291355,185.2419702969382
6000.0,2447.5688489584345,525.1039261894344,180.58350466604838
6050.0,2448.2835477701083,525.8076744749771,174.8074665622983
6100.0,2448.9550652468693,519.3734905700886,168.4986140661308
6150.0,2449.4793205739015,512.9393066652002,162.33702371969162
6200.0,2449.726324315358,506.50512276031174,156.452684958828
6250.0,2450.1425252214053,500.0709388554231,150.39914903337342
6300.0,2450.5561590864377,494.130048049354,144.23789273984372
6350.0,2450.343173709762,495.36706095934863,137.09846452950072
6400.0,2449.3857757442743,496.6040738693433,130.70344890796966
6450.0,2447.9084354800234,497.84108677933796,124.82837558520195
6500.0,2445.816981113872,497.17091662637205,119.4025458490267
6550.0,2442.42625763288,471.946038216994,113.1533010018792
6600.0,2437.9261862088915,446.7211598076159,108.01340409772885
6650.0,2433.1945843668564,421.49628139823784,103.10503761162437
6700.0,2429.1761614803354,405.0347037941154,97.41593820979077
6750.0,2427.0431828852984,389.0301704749695,89.83787128337616
6800.0,2425.607061859154,373.0256371558237,81.56294678806809
6850.0,2425.081527076259,347.73904676275913,73.39804686746113
6900.0,2426.286859145902,320.0868954456049,63.76238591465636
6950.0,2429.202197319725,292.4347441284507,52.41671885767073
7000.0,2432.0693742060394,253.494212350446,41.929633821834614
7050.0,2433.9806136661327,202.09225123528682,33.293123023996486
7100.0,2434.9736261960556,186.0781727864947,25.574839156328835
7150.0,2434.9151043589522,186.0781727864947,18.90808965568749
7200.0,2433.859215769032,186.0781727864947,0.0
7250.0,2431.920698348308,186.12116043034516,0.0
7300.0,2429.2877187527483,186.2311455247699,0.0
7350.0,2426.1935229532473,186.44968257906334,0.0
7400.0,2422.8861968887113,186.82797899215072,0.0
7450.0,2419.6114436790226,187.41721977234954,0.0
7500.0,2416.5502134656113,188.25963943429622,0.0
7550.0,2413.820088269427,189.38324243696317,0.0
7600.0,2411.43775577279,190.7999974905455,0.0
7650.0,2409.2724079034892,192.5055383446839,0.0
7700.0,2407.108011078488,194.48397327888446,0.0
7750.0,2404.3959549917654,196.70752889516598,0.0
7800.0,2401.5907307596854,199.140712563569,0.0
7850.0,2398.8832061361854,201.73949227200305,0.0
7900.0,2396.3822129675063,204.4500730536241,0.0
7950.0,2394.1524312012557,207.21226188911908,0.0
8000.0,2392.189676416452,209.9561586910281,0.0
8050.0,2390.4380014577446,212.60672061893263,0.0
8100.0,2388.8523475701218,215.08391018189178,0.0
8150.0,2387.3701028684172,217.30795496020139,0.0
8200.0,2385.864730151676,219.19981544895603,0.0
8250.0,2384.188116619046,220.68662465867197,0.0
8300.0,2382.196494746722,221.70470294629894,0.0
8350.0,2379.7934897921414,222.20400543918575,0.0
8400.0,2376.9762861413856,222.15369623023975,0.0
8450.0,2373.8190157541612,221.54702127026155,0.0
8500.0,2370.481666121914,220.4056662752011,0.0
8550.0,2367.129903851428,218.7816363795339,0.0
8600.0,2363.835125243887,216.7570203947628,0.0
8650.0,2360.582080821787,214.4395405676662,0.0
8700.0,2357.338012996303,211.95722690083426,0.0
8750.0,2354.10286474211,209.4490106536701,0.0
8800.0,2350.9071802657827,207.05317798554375,0.0
8850.0,2347.7844626176325,204.90055193304255,0.0
8900.0,2344.7606797706626,203.10190442052897,0.0
8950.0,2341.8662447916217,201.74356393034563,0.0
9000.0,2339.142293083774,200.88024525552467,0.0
9050.0,2336.6209744243415,200.5326480817156,0.0
9100.0,2334.2859628419624,200.6865266639117,0.0
9150.0,2332.0284711077184,201.29417927089213,0.0
9200.0,2329.6197106312106,202.27856101610422,0.0
9250.0,2326.7903825233766,203.5392954527747,0.0
9300.0,2323.404261192025,204.95897892622835,0.0
9350.0,2319.497680928903,206.41468779997888,0.0
9400.0,2315.257015737697,207.78577937334705,0.0
9450.0,2310.991630291721,208.9662518505664,0.0
9500.0,2307.0079191703653,209.87317557603157,0.0
9550.0,2303.5364852341863,210.45447006074525,0.0
9600.0,2300.6826281803633,210.6931249044929,0.0
9650.0,2298.4291544956463,210.60684800815562,0.0
9700.0,2296.6179687022463,210.245394239927,0.0
9750.0,2295.0399894837738,209.68175935097668,0.0
9800.0,2293.513729764948,209.00183203449382,0.0
9850.0,2291.860533283033,208.2925490242217,0.0
9900.0,2289.9283425414637,207.62923589850826,0.0
9950.0,2287.661019647283,207.06583475982055,0.0
10000.0,2285.0818951113897,206.62638381850775,0.0
10050.0,2282.2469851746205,206.30255820630168,0.0
10100.0,2279.263341325379,206.05277873418535,0.0
10150.0,2276.2127813296706,205.80689610013232,0.0
10200.0,2273.0817786991797,205.4754788432213,0.0
10250.0,2269.8796093909828,204.96473545057484,0.0
10300.0,2266.680481849919,204.18948686560984,0.0
10350.0,2263.58502128614,203.08922188855942,0.0
10400.0,2260.713249965405,201.64087655492315,0.0
10450.0,2258.1925246966434,199.86474299196922,0.0
10500.0,2256.1421235768985,197.82679397114947,0.0
10550.0,2254.5789289162703,195.63039216217854,0.0
10600.0,2253.404916228264,193.40363295021734,0.0
10650.0,2252.3767252451203,191.284719646408,0.0
10700.0,2251.1578449944163,189.40409402720186,0.0
10750.0,2249.429177560091,187.86808972330084,0.0
10800.0,2246.9791557939884,186.74996450196306,0.0
10850.0,2243.731483660386,186.08292958455462,0.0
10900.0,2239.710058286504,185.85777461168547,0.0
10950.0,2235.0212330824734,186.0283297221855,0.0
11000.0,2229.803693714747,186.51666895678096,0.0
11050.0,2224.2202536547793,187.22327432420417,0.0
11100.0,2218.472908969031,188.0387708205722,0.0
11150.0,2212.7582944307214,188.85676794444726,0.0
11200.0,2207.3164451538473,189.58628038819413,0.0
11250.0,2202.4068210439455,190.16078974939154,0.0
11300.0,2198.202407238217,190.5443765247794,0.0
11350.0,2194.682079222167,190.73258442561863,0.0
11400.0,2191.6949091490133,190.7459115276499,0.0
11450.0,2189.0666575939968,190.62062304794063,0.0
11500.0,2186.5855947606224,190.39314754623058,0.0
11550.0,2184.0349299047402,190.08874126456087,0.0
11600.0,2181.298828807203,189.7110759024909,0.0
11650.0,2178.354674709858,189.23815380682302,0.0
11700.0,2175.251759955258,188.625046030659,0.0
11750.0,2172.21259732092,187.81106294621523,0.0
