x,zb,w,h0
0.0,3758.321177978007,103.43662118095995,246.611927490743
50.0,3907.967110797457,103.43662118095995,96.96599467129306
100.0,3934.5860858596566,156.85764139581235,54.71663516966227
150.0,3916.084917701193,230.4578625922429,46.23428755818317
200.0,3885.629691486925,290.7802905165905,45.21850977988443
250.0,3850.261948839798,330.5762303077572,47.95281647602859
300.0,3814.997006156529,337.0966101971031,53.94311811394705
350.0,3783.5153597213684,353.9465528566076,59.85657745102249
400.0,3757.9553982837583,413.70796348392213,62.405034740416156
450.0,3735.51640029113,621.243907317663,61.928350780554894
500.0,3708.3892697925316,583.679145771373,68.0138944894476
550.0,3683.5490601014185,604.8664586166984,73.12524955613237
600.0,3664.70008615937,854.7995831265177,74.06886230582602
650.0,3645.504190423215,980.378780582155,76.22685860636442
700.0,3635.2963111885124,1063.0393025769813,69.69622830405652
750.0,3619.293674227713,1361.4881983166038,62.13321932438066
800.0,3595.6818619283426,1671.1500346518874,61.65197710619198
850.0,3574.4682915279996,2004.7962377397027,59.07548826006668
900.0,3551.409981195462,2323.719169319181,54.546913833182316
950.0,3516.4872132000946,2339.0713275707976,57.86038438836506
1000.0,3481.2353210957695,2084.0587550104647,68.47574722390185
1050.0,3449.834470442025,1963.7337471228054,78.64360743817475
1100.0,3424.871103786688,2148.8123020963726,86.47431269043032
1150.0,3424.4795613016895,2442.061837595062,71.1854905569246
1200.0,3408.897491696071,3525.8374396754775,57.51622720079466
1250.0,3378.1603541938434,3403.779944894231,58.37391681433305
1300.0,3338.010712820395,3871.8490775298724,67.93545075269978
1350.0,3298.1649665163477,3315.942572545205,91.76144036981523
1400.0,3271.9696811255562,2651.302002406877,103.416621891394
1450.0,3254.5784905860482,2839.645893181498,107.8236835441751
1500.0,3249.0275040457796,3228.5881337862265,100.75646347199898
1550.0,3241.9738939835147,3584.937219879406,92.37628897378471
1600.0,3233.5547463272264,3928.22279580841,84.23315341110627
1650.0,3221.432776302328,4817.0519620803625,75.9200409434704
1700.0,3202.541336302085,5326.6592809012245,73.1266615929167
1750.0,3180.2577440588434,5246.804999073625,72.66235786052526
1800.0,3159.456880177214,5726.103053743659,70.08101884693036
1850.0,3137.8959700151377,6218.816248718948,66.39697529545609
1900.0,3112.7741468150643,6732.082552647793,63.89892760321525
1950.0,3084.529241441036,7241.27531860051,63.749922837865014
2000.0,3055.1911740714463,7189.891169438822,65.51967660290971
2050.0,3026.7594751519077,7115.467505687358,66.99586491643217
2100.0,2999.196489642412,7469.642122272062,67.98799064336501
2150.0,2971.301190466143,7333.937602551605,70.32613091847941
2200.0,2944.2978352216564,6986.47052950895,72.69199895228996
2250.0,2918.8449297643137,6739.372077461863,73.99285575902309
2300.0,2894.0397620929734,6572.325615963601,74.5719204517379
2350.0,2869.2880479053615,6489.63971399799,75.01516479701604
2400.0,2844.381615039279,6419.749668412316,75.63967239801539
2450.0,2819.279484905281,6110.163415318093,76.64434215469474
2500.0,2795.504884898988,6535.292233393795,76.17130188579496
2550.0,2770.173901167885,6438.032069235041,77.778591046438
2600.0,2744.893878339685,6209.796688465277,80.055024467726
2650.0,2720.373358846736,6098.476734783507,82.3833296084317
2700.0,2689.959653017205,6193.882108844408,91.5534818185515
2750.0,2655.92999872769,5628.485329450361,110.53273997319272
2800.0,2631.1666022066725,4774.780974288624,122.94781118549733
2850.0,2610.1640617218513,4115.0212066307395,132.04852418162517
2900.0,2594.1313194600048,3965.9139089517234,137.35505936041844
2950.0,2580.961870758438,3816.806611272707,139.79830097893233
3000.0,2566.5526234677977,3706.3565109789,143.83475750155594
3050.0,2554.279211420067,3642.9272924266643,146.16525854180338
3100.0,2539.3805766128685,3579.498073874428,151.1209823415185
3150.0,2517.6062068032197,3476.807181456048,163.92669567857718
3200.0,2500.4203077712136,3322.7934706349247,173.41748273186425
